                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     67,                0.12444,                0.02064,                      0,                0.11848,                0.79137,                0.99982,                      1,                  0.995,                  0.995,                0.99982,                      1,                  0.995,                  0.995,                0.08297,                0.00602,                      0,                0.08141,                0.75901,              0.0013466,              0.0013466,              0.0013466
                     68,                0.11315,                0.01566,                      0,                0.11147,                0.79008,                      1,                      1,                  0.995,                  0.995,                      1,                      1,                  0.995,                  0.995,                0.07945,                0.00563,                      0,                0.08703,                0.75913,              0.0013367,              0.0013367,              0.0013367
                     69,                0.11597,                0.01563,                      0,                0.11394,                0.79158,                0.99982,                      1,                  0.995,                  0.995,                0.99982,                      1,                  0.995,                  0.995,                  0.073,                0.00797,                      0,                0.08679,                0.75792,              0.0013268,              0.0013268,              0.0013268
                     70,                0.11538,                0.01576,                      0,                0.11417,                0.79257,                      1,                      1,                  0.995,                  0.995,                      1,                      1,                  0.995,                  0.995,                0.08701,                0.00675,                      0,                0.08475,                0.75902,              0.0013169,              0.0013169,              0.0013169
                     71,                0.11569,                0.01949,                      0,                0.11638,                 0.7927,                0.99971,                      1,                  0.995,                  0.995,                0.99971,                      1,                  0.995,                  0.995,                0.08581,                0.01155,                      0,                0.09437,                0.75911,               0.001307,               0.001307,               0.001307
                     72,                0.11934,                0.02133,                      0,                0.11723,                0.79191,                0.99982,                      1,                  0.995,                  0.995,                0.99982,                      1,                  0.995,                  0.995,                0.08097,                0.00556,                      0,                0.07662,                0.75818,              0.0012971,              0.0012971,              0.0012971
                     73,                0.11198,                0.02133,                      0,                0.11146,                0.79036,                0.99982,                      1,                  0.995,                  0.995,                0.99982,                      1,                  0.995,                  0.995,                0.07722,                0.00549,                      0,                0.07627,                0.75822,              0.0012872,              0.0012872,              0.0012872
                     74,                0.11292,                0.01731,                      0,                0.10984,                0.78904,                0.99982,                      1,                  0.995,                  0.995,                0.99982,                      1,                  0.995,                  0.995,                0.07575,                0.00551,                      0,                0.07353,                0.75777,              0.0012773,              0.0012773,              0.0012773
                     75,                0.11279,                0.01694,                      0,                0.11201,                0.79082,                0.99982,                      1,                  0.995,                  0.995,                0.99982,                      1,                  0.995,                  0.995,                0.08073,                0.00867,                      0,                0.08229,                 0.7589,              0.0012674,              0.0012674,              0.0012674
                     76,                0.11593,                0.01803,                      0,                0.11266,                0.79145,                0.99973,                      1,                  0.995,                  0.995,                0.99973,                      1,                  0.995,                  0.995,                0.08558,                0.00544,                      0,                0.07758,                0.75881,              0.0012575,              0.0012575,              0.0012575
                     77,                0.12173,                0.02096,                      0,                0.11598,                0.79235,                0.99982,                      1,                  0.995,                  0.995,                0.99982,                      1,                  0.995,                  0.995,                0.08296,                0.00604,                      0,                0.08018,                0.75985,              0.0012476,              0.0012476,              0.0012476
